!gpa-version: 1.1
!Submission Date: 03/28/2017
!
!Project_name: CollecTF - Experimentally validated
!URL: http://www.collectf.org/
!Contact Email: collectf@umbc.edu
!
!DB	DB_Object_ID	Relationship	GO ID	Reference	Evidence code	With (or) From	Interacting taxon ID	Date	Assigned By	Annotation Extension	Annotation Properties
UniProtKB	A0A024HKB0	enables	GO:0000976	PMID:9171413	ECO:0005631	RefSeq:NC_010170.1		20170328	CollecTF		
UniProtKB	A0A024HKB0	part_of	GO:0032993	PMID:9171413	ECO:0005631	RefSeq:NC_010170.1		20170328	CollecTF		
UniProtKB	A0A024HKB0	enables	GO:0001216	PMID:8419291	ECO:0001807			20170328	CollecTF		
UniProtKB	A0A024HKB0	part_of	GO:0032993	PMID:8419291	ECO:0001807			20170328	CollecTF		
UniProtKB	A0A024HKB0	enables	GO:0001217	PMID:8419291	ECO:0001807			20170328	CollecTF		
UniProtKB	A0A024HKB0	enables	GO:0000976	PMID:8419291	ECO:0001807			20170328	CollecTF		
UniProtKB	A0A024HKB0	enables	GO:0001216	PMID:9171413	ECO:0005631	RefSeq:NC_010170.1		20170328	CollecTF		
UniProtKB	A0A072Z841	enables	GO:0000976	PMID:19372162	ECO:0001807			20170328	CollecTF		
UniProtKB	A0A072Z841	enables	GO:0001217	PMID:19372162	ECO:0001807			20170328	CollecTF		
UniProtKB	A0A072Z841	part_of	GO:0032993	PMID:19372162	ECO:0001807			20170328	CollecTF		
UniProtKB	A0A072Z841	involved_in	GO:0045892	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	A0A072Z841	involved_in	GO:0045892	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NR87	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NSE2	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	Q8NQM0	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NPY8	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	P42442	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	Q8NSM6	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	Q8NRB4	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q79VH1	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NNM4	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NRW3	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	Q8NTB4	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NSE9	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	Q79VH1	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	Q8NR02	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	Q8NSE9	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NLC5	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NRB5	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NSB1	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NR86	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NTB5	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NQQ0	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
UniProtKB	Q8NRB4	involved_in	GO:0009432	PMID:19372162	ECO:0001808			20170328	CollecTF		
UniProtKB	Q8NQQ1	involved_in	GO:0009432	PMID:19372162	ECO:0005525			20170328	CollecTF		
